Year,series,station,data,value
1909,national_7_stn_temp_data,Auckland,Temp,
1910,national_7_stn_temp_data,Auckland,Temp,14.97
1911,national_7_stn_temp_data,Auckland,Temp,14.33
1912,national_7_stn_temp_data,Auckland,Temp,13.54
1913,national_7_stn_temp_data,Auckland,Temp,13.76
1914,national_7_stn_temp_data,Auckland,Temp,13.68
1915,national_7_stn_temp_data,Auckland,Temp,14.36
1916,national_7_stn_temp_data,Auckland,Temp,15.26
1917,national_7_stn_temp_data,Auckland,Temp,14.86
1961,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,-0.3
1962,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,-0.32
1963,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,-0.4
1964,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,-0.43
1965,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,-0.55
1966,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,-0.5
1967,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,-0.47
1968,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,-0.27
1969,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,-0.08
1970,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,-0.09
1971,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,0.01
1972,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,0.12
1973,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,0.07
1974,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,-0.21
1975,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,-0.3
1976,national_7_stn_temp_data,7_Stn_Composite,5_yr_mean,-0.28
1918,national_7_stn_temp_data,Auckland,Temp,14.22
1919,national_7_stn_temp_data,Auckland,Temp,13.43
1920,national_7_stn_temp_data,Auckland,Temp,13.98
1921,national_7_stn_temp_data,Auckland,Temp,14.27
1922,national_7_stn_temp_data,Auckland,Temp,14.56
1923,national_7_stn_temp_data,Auckland,Temp,14.11
1924,national_7_stn_temp_data,Auckland,Temp,14.96
1925,national_7_stn_temp_data,Auckland,Temp,14.06
1926,national_7_stn_temp_data,Auckland,Temp,14.14
1927,national_7_stn_temp_data,Auckland,Temp,14.08
1928,national_7_stn_temp_data,Auckland,Temp,15.21
1929,national_7_stn_temp_data,Auckland,Temp,14.7
1930,national_7_stn_temp_data,Auckland,Temp,14
1931,national_7_stn_temp_data,Auckland,Temp,14.06
1932,national_7_stn_temp_data,Auckland,Temp,14.26
1933,national_7_stn_temp_data,Auckland,Temp,14.66
1934,national_7_stn_temp_data,Auckland,Temp,14.61
1935,national_7_stn_temp_data,Auckland,Temp,14.89
1936,national_7_stn_temp_data,Auckland,Temp,14.26
1937,national_7_stn_temp_data,Auckland,Temp,14.21
1938,national_7_stn_temp_data,Auckland,Temp,15.57
1939,national_7_stn_temp_data,Auckland,Temp,14.22
1940,national_7_stn_temp_data,Auckland,Temp,14.05
1941,national_7_stn_temp_data,Auckland,Temp,14.32
1942,national_7_stn_temp_data,Auckland,Temp,14.69
1943,national_7_stn_temp_data,Auckland,Temp,14.34
1944,national_7_stn_temp_data,Auckland,Temp,14.17
1945,national_7_stn_temp_data,Auckland,Temp,13.91
1946,national_7_stn_temp_data,Auckland,Temp,14.68
1947,national_7_stn_temp_data,Auckland,Temp,14.44
1948,national_7_stn_temp_data,Auckland,Temp,14.9
1949,national_7_stn_temp_data,Auckland,Temp,14.56
1950,national_7_stn_temp_data,Auckland,Temp,15.15
1951,national_7_stn_temp_data,Auckland,Temp,14.52
1952,national_7_stn_temp_data,Auckland,Temp,14.68
1953,national_7_stn_temp_data,Auckland,Temp,14.94
1954,national_7_stn_temp_data,Auckland,Temp,15.15
1955,national_7_stn_temp_data,Auckland,Temp,15.48
1956,national_7_stn_temp_data,Auckland,Temp,15.55
1957,national_7_stn_temp_data,Auckland,Temp,14.87
1958,national_7_stn_temp_data,Auckland,Temp,15.1
1959,national_7_stn_temp_data,Auckland,Temp,14.77
1960,national_7_stn_temp_data,Auckland,Temp,14.72
1961,national_7_stn_temp_data,Auckland,Temp,14.82
1962,national_7_stn_temp_data,Auckland,Temp,15.55
1963,national_7_stn_temp_data,Auckland,Temp,14.72
