Month_year,Southern_oscillation_index
Jan-86,1
Feb-86,-1
Mar-86,0.5
Apr-86,0.3
May-86,-0.2
Jun-86,1
Jul-86,0.3
Aug-86,-0.4
Sep-86,-0.5
Oct-86,0.6
Nov-86,-1.2
Dec-86,-1.4
Jan-87,-0.7
Feb-87,-1.2
Mar-87,-1.3
Apr-87,-1.4
May-87,-1.3
Jun-87,-1.1
Jul-87,-1.4
Aug-87,-0.9
Sep-87,-1
Oct-87,-0.4
Nov-87,0
Dec-87,-0.5
Jan-88,-0.1
Feb-88,-0.4
Mar-88,0.6
Apr-88,0.1
May-88,0.9
Jun-88,0.1
Jul-88,1
Aug-88,1.5
Sep-88,1.8
Oct-88,1.4
Nov-88,1.7
Dec-88,1.2
Jan-89,1.5
Feb-89,1.2
Mar-89,1.1
Apr-89,1.6
May-89,1.2
Jun-89,0.7
Jul-89,0.9
Aug-89,-0.3
Sep-89,0.5
Oct-89,0.8
Nov-89,-0.2
Dec-89,-0.5
Jan-90,-0.1
Feb-90,-1.8
Mar-90,-0.4
Apr-90,0.2
May-90,1.2
Jun-90,0.3
Jul-90,0.5
Aug-90,-0.2
Sep-90,-0.7
Oct-90,0.3
Nov-90,-0.5
Dec-90,-0.2
Jan-91,0.6
Feb-91,0.3
Mar-91,-0.7
Apr-91,-0.6
May-91,-1
Jun-91,-0.1
Jul-91,0
Aug-91,-0.4
Sep-91,-1.5
Oct-91,-1
Nov-91,-0.7
Dec-91,-1.8
Jan-92,-2.9
Feb-92,-0.9
Mar-92,-2
Apr-92,-1
May-92,0.3
Jun-92,-0.6
Jul-92,-0.6
Aug-92,0.4
Sep-92,0.1
Oct-92,-1.4
Nov-92,-0.7
Dec-92,-0.6
Jan-93,-0.9
Feb-93,-0.7
Mar-93,-0.5
Apr-93,-1.2
May-93,-0.3
Jun-93,-0.8
Jul-93,-0.8
Aug-93,-0.9
Sep-93,-0.7
Oct-93,-1.1
Nov-93,-0.1
Dec-93,0.2
Jan-94,-0.1
Feb-94,0.3
Mar-94,-0.7
Apr-94,-1.3
May-94,-0.7
Jun-94,-0.4
Jul-94,-1.3
Aug-94,-1.2
Sep-94,-1.6
Oct-94,-1.1
Nov-94,-0.6
Dec-94,-1.2
Jan-95,-0.4
Feb-95,-0.1
Mar-95,0.8
Apr-95,-0.7
May-95,-0.4
Jun-95,0.1
Jul-95,0.4
Aug-95,0.3
Sep-95,0.3
Oct-95,0
Nov-95,0
Dec-95,-0.5
Jan-96,1
Feb-96,0.3
Mar-96,1.1
Apr-96,0.8
May-96,0.3
Jun-96,1.2
Jul-96,0.7
Aug-96,0.7
Sep-96,0.6
Oct-96,0.6
Nov-96,-0.1
Dec-96,0.9
Jan-97,0.5
Feb-97,1.7
Mar-97,-0.4
Apr-97,-0.6
May-97,-1.3
Jun-97,-1.4
Jul-97,-0.8
Aug-97,-1.4
Sep-97,-1.4
Oct-97,-1.5
Nov-97,-1.2
Dec-97,-1
Jan-98,-2.7
Feb-98,-2
Mar-98,-2.4
Apr-98,-1.4
May-98,0.3
Jun-98,1
Jul-98,1.2
Aug-98,1.2
Sep-98,1
Oct-98,1.1
Nov-98,1
Dec-98,1.4
Jan-99,1.8
Feb-99,1
Mar-99,1.3
Apr-99,1.4
May-99,0.2
Jun-99,0.3
Jul-99,0.5
Aug-99,0.4
Sep-99,-0.1
Oct-99,1
Nov-99,1
Dec-99,1.4
Jan-00,0.7
Feb-00,1.7
Mar-00,1.3
Apr-00,1.2
May-00,0.4
Jun-00,-0.2
Jul-00,-0.2
Aug-00,0.7
Sep-00,0.9
Oct-00,1.1
Nov-00,1.8
Dec-00,0.8
Jan-01,1
Feb-01,1.7
Mar-01,0.9
Apr-01,0.2
May-01,-0.5
Jun-01,0.3
Jul-01,-0.2
Aug-01,-0.4
Sep-01,0.2
Oct-01,0
Nov-01,0.7
Dec-01,-0.8
Jan-02,0.4
Feb-02,1.1
Mar-02,-0.2
Apr-02,-0.1
May-02,-0.8
Jun-02,-0.2
Jul-02,-0.5
Aug-02,-1
Sep-02,-0.6
Oct-02,-0.4
Nov-02,-0.5
Dec-02,-1.1
Jan-03,-0.2
Feb-03,-0.7
Mar-03,-0.3
Apr-03,-0.1
May-03,-0.3
Jun-03,-0.6
Jul-03,0.3
Aug-03,0.1
Sep-03,-0.1
Oct-03,0
Nov-03,-0.3
Dec-03,1.1
Jan-04,-1.3
Feb-04,1.2
Mar-04,0.4
Apr-04,-0.9
May-04,1
Jun-04,-0.8
Jul-04,-0.5
Aug-04,-0.3
Sep-04,-0.3
Oct-04,-0.1
Nov-04,-0.7
Dec-04,-0.8
Jan-05,0.3
Feb-05,-3.1
Mar-05,0.3
Apr-05,-0.6
May-05,-0.8
Jun-05,0.4
Jul-05,0.2
Aug-05,-0.3
Sep-05,0.4
Oct-05,1.2
Nov-05,-0.2
Dec-05,0
Jan-06,1.7
Feb-06,0.1
Mar-06,1.8
Apr-06,1.1
May-06,-0.5
Jun-06,-0.2
Jul-06,-0.6
Aug-06,-1
Sep-06,-0.6
Oct-06,-1.3
Nov-06,0.1
Dec-06,-0.3
Jan-07,-0.8
Feb-07,-0.1
Mar-07,0.2
Apr-07,-0.1
May-07,-0.1
Jun-07,0.5
Jul-07,-0.3
